Estado,boolean,break,case,function,if,input,int,output,return,string,switch,var,void,++,ent,cad,id,=,",",;,:,(,),{,},*,!,>,default,true,false,$,P,F,F1,F2,F3,H,A,K,C,B,B1,W,T,S,S1,L,Q,X,E,R,U,V,V1
0,,d13,,d14,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,,,,,,,,d4,1,3,,,,,,,,2,,,,8,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceptar,,,,,,,,,,,,,,,,,,,,,,,
2,,d13,,d14,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,,,,,,,,d4,15,3,,,,,,,,2,,,,8,,,,,,,,,
3,,d13,,d14,d5,d11,,d10,d12,,d7,d6,,,,,d9,,,,,,,,,,,,,,,d4,16,3,,,,,,,,2,,,,8,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,d18,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
6,d21,,,,,,d20,,,d22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,d18,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,
8,,r19,r19,r19,r19,r19,,r19,r19,,r19,r19,,,,,r19,,,,,,,,r19,,,,r19,,,r19,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,d25,,,,d26,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
10,,,,,,,,,,,,,,d31,d35,d36,d33,,,,,d34,,,,,d30,,,d37,d38,,,,,,,,,,,,,,,,,,,,27,28,29,32,
11,,,,,,,,,,,,,,,,,d39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,d31,d35,d36,d33,,,r39,,d34,,,,,d30,,,d37,d38,,,,,,,,,,,,,,,,,,,40,41,28,29,32,
13,,,,,,,,,,,,,,,,,,,,d42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,d21,,,,,,d20,,,d22,,,d45,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,44,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,
17,,d13,,,,d11,,d10,d12,,,,,,,,d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,
18,,,,,,,,,,,,,,d31,d35,d36,d33,,,,,d34,,,,,d30,,,d37,d38,,,,,,,,,,,,,,,,,,,,47,28,29,32,
19,,,,,,,,,,,,,,,,,d64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,d48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,r31,r31,r31,r31,r31,,r31,r31,,r31,r31,,,,,r31,,,,,,,,r31,,,,r31,,,r31,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,d31,d35,d36,d33,,,,,d34,,,,,d30,,,d37,d38,,,,,,,,,,,,,,,,,,,,49,28,29,32,
26,,,,,,,,,,,,,,d31,d35,d36,d33,,,,,d34,r35,,,,d30,,,d37,d38,,,,,,,,,,,,,,,,,50,,,51,28,29,32,
27,,,,,,,,,,,,,,,,,,,,d52,,,,,,,,d53,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,r41,r41,,,r41,,,d54,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,r43,r43,,,r43,,,r43,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,
